Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
    Native,"16,166,804","±34,471",8.70%,±0.2,3.30%,±0.1,3.30%,±0.1,0.40%,±0.1
    Foreign born,"4,234,771","±36,065",8.60%,±0.4,2.00%,±0.1,1.80%,±0.1,4.00%,±0.3
        Naturalized U.S. citizen,"2,334,091","±28,463",7.00%,±0.4,1.90%,±0.2,1.70%,±0.2,0.60%,±0.1
        Not a U.S. citizen,"1,900,680","±30,043",10.50%,±0.7,2.10%,±0.2,1.80%,±0.2,8.20%,±0.7
MARITAL STATUS,,,,,,,,,,
    Population 15 years and over,"17,195,240","±5,550",8.30%,±0.2,3.10%,±0.1,3.00%,±0.1,1.20%,±0.1
        Never married,"5,470,846","±33,204",11.10%,±0.3,4.90%,±0.2,3.10%,±0.2,1.30%,±0.1
"        Now married, except separated","7,867,207","±43,508",6.20%,±0.2,1.90%,±0.1,3.00%,±0.1,1.20%,±0.1
        Divorced or separated,"2,665,708","±25,256",10.00%,±0.4,3.50%,±0.2,3.00%,±0.2,0.90%,±0.1
        Widowed,"1,191,479","±16,569",5.70%,±0.4,1.80%,±0.3,2.70%,±0.3,0.80%,±0.2
EDUCATIONAL ATTAINMENT,,,,,,,,,,
    Population 25 years and over,"14,703,671","±8,103",7.70%,±0.2,2.70%,±0.1,2.90%,±0.1,1.10%,±0.1
        Less than high school graduate,"1,855,213","±25,403",7.80%,±0.5,3.10%,±0.2,1.60%,±0.2,1.70%,±0.2
        High school graduate (includes equivalency),"4,249,733","±31,017",7.60%,±0.3,2.50%,±0.2,2.60%,±0.2,0.90%,±0.1
        Some college or associate's degree,"4,390,269","±28,822",8.00%,±0.3,2.80%,±0.2,3.10%,±0.2,0.80%,±0.1
        Bachelor's degree,"2,675,907","±28,563",7.60%,±0.3,2.60%,±0.2,3.50%,±0.2,1.50%,±0.2
        Graduate or professional degree,"1,532,549","±22,110",6.90%,±0.3,2.50%,±0.2,4.30%,±0.3,1.50%,±0.2
INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,
    Population 15 years and over,"17,195,240","±5,550",8.30%,±0.2,3.10%,±0.1,3.00%,±0.1,1.20%,±0.1
"        $1 to $9,999 or loss","2,667,884","±31,124",9.00%,±0.4,4.00%,±0.2,3.40%,±0.2,1.70%,±0.2
"        $10,000 to $14,999","1,648,377","±25,197",8.40%,±0.5,2.60%,±0.3,3.20%,±0.3,0.90%,±0.2
"        $15,000 to $24,999","2,791,741","±31,335",9.10%,±0.4,2.70%,±0.2,2.80%,±0.2,0.80%,±0.1
"        $25,000 to $34,999","2,030,762","±26,083",9.30%,±0.4,2.70%,±0.2,2.90%,±0.2,0.60%,±0.1
"        $35,000 to $49,999","2,052,533","±24,920",8.30%,±0.4,2.70%,±0.2,2.90%,±0.2,0.40%,±0.1
"        $50,000 to $64,999","1,257,697","±18,229",7.50%,±0.4,2.70%,±0.2,3.20%,±0.3,0.60%,±0.1
"        $65,000 to $74,999","490,486","±12,425",6.90%,±0.6,2.20%,±0.4,2.60%,±0.4,0.50%,±0.2
"        $75,000 or more","1,708,997","±20,797",6.10%,±0.3,2.20%,±0.2,3.70%,±0.3,0.50%,±0.1
Median income (dollars),"25,805",±152,"23,914",±645,"22,292",±684,"25,834",±932,"15,222","±2,044"
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,,,,,
    Population 1 year and over for whom poverty status is determined,"19,983,972","±9,303",8.50%,±0.2,2.60%,±0.1,2.90%,±0.1,1.10%,±0.1
        Below 100 percent of the poverty level,"2,919,665","±47,648",11.70%,±0.6,3.90%,±0.3,3.10%,±0.3,2.60%,±0.3
        100 to 149 percent of the poverty level,"2,113,253","±41,066",10.40%,±0.6,2.50%,±0.3,2.80%,±0.4,1.30%,±0.3
        At or above 150 percent of the poverty level,"14,951,054","±57,273",7.60%,±0.2,2.40%,±0.1,2.90%,±0.1,0.80%,±0.1
HOUSING TENURE,,,,,,,,,,
    Population 1 year and over in housing units,"19,968,183","±7,842",8.50%,±0.2,2.60%,±0.1,2.90%,±0.1,1.10%,±0.1
        Householder lived in owner-occupied housing units,"12,721,641","±64,088",4.90%,±0.2,1.80%,±0.1,2.20%,±0.1,0.60%,±0.1
        Householder lived in renter-occupied housing units,"7,246,542","±64,307",14.80%,±0.4,4.00%,±0.2,4.10%,±0.2,2.00%,±0.2
PERCENT ALLOCATED,,,,,,,,,,
    Residence 1 year ago,7.90%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
