Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
        Widowed,"1,200,262","±17,833",5.80%,±0.4,1.80%,±0.3,2.30%,±0.3,0.80%,±0.2
EDUCATIONAL ATTAINMENT,,,,,,,,,,
    Population 25 years and over,"15,020,177","±8,023",7.60%,±0.2,2.80%,±0.1,2.70%,±0.1,1.10%,±0.1
        Less than high school graduate,"1,745,933","±28,467",8.00%,±0.5,3.10%,±0.2,1.70%,±0.2,1.40%,±0.2
        High school graduate (includes equivalency),"4,330,040","±38,469",7.60%,±0.3,2.80%,±0.2,2.30%,±0.1,0.90%,±0.1
        Some college or associate's degree,"4,489,712","±31,639",7.40%,±0.3,2.80%,±0.1,2.70%,±0.2,0.80%,±0.1
        Bachelor's degree,"2,839,500","±31,510",7.90%,±0.3,3.00%,±0.3,3.30%,±0.2,1.50%,±0.2
        Graduate or professional degree,"1,614,992","±19,343",6.80%,±0.4,2.50%,±0.3,3.90%,±0.3,1.50%,±0.2
INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,
    Population 15 years and over,"17,514,198","±4,283",8.10%,±0.2,3.20%,±0.1,2.80%,±0.1,1.20%,±0.1
"        $1 to $9,999 or loss","2,610,484","±26,638",8.50%,±0.4,3.90%,±0.2,3.10%,±0.2,1.60%,±0.2
"        $10,000 to $14,999","1,602,520","±21,127",7.90%,±0.4,2.90%,±0.3,3.10%,±0.3,1.00%,±0.1
"        $15,000 to $24,999","2,813,927","±34,714",8.90%,±0.4,2.90%,±0.2,2.60%,±0.2,0.90%,±0.1
"        $25,000 to $34,999","2,085,998","±25,375",8.50%,±0.4,3.00%,±0.2,2.60%,±0.2,0.60%,±0.1
"        $35,000 to $49,999","2,144,649","±20,731",8.60%,±0.4,2.70%,±0.2,2.50%,±0.2,0.50%,±0.1
"        $50,000 to $64,999","1,333,611","±19,887",7.60%,±0.5,2.70%,±0.3,2.90%,±0.3,0.60%,±0.1
"        $65,000 to $74,999","530,299","±13,539",6.50%,±0.5,2.20%,±0.4,3.30%,±0.4,0.40%,±0.2
"        $75,000 or more","1,855,075","±19,746",6.50%,±0.3,2.40%,±0.2,3.50%,±0.2,0.60%,±0.1
Median income (dollars),"26,667",±128,"25,438",±495,"23,703","±1,096","26,834",±860,"17,005","±1,207"
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,,,,,
    Population 1 year and over for whom poverty status is determined,"20,362,348","±9,728",8.20%,±0.2,2.80%,±0.1,2.60%,±0.1,1.20%,±0.1
        Below 100 percent of the poverty level,"2,840,696","±57,333",11.10%,±0.6,3.90%,±0.4,2.60%,±0.3,2.80%,±0.4
        100 to 149 percent of the poverty level,"2,027,999","±42,367",9.70%,±0.7,3.00%,±0.4,2.20%,±0.3,1.40%,±0.3
        At or above 150 percent of the poverty level,"15,493,653","±70,247",7.50%,±0.2,2.50%,±0.1,2.70%,±0.1,0.90%,±0.1
HOUSING TENURE,,,,,,,,,,
    Population 1 year and over in housing units,"20,344,787","±8,073",8.20%,±0.2,2.70%,±0.1,2.60%,±0.1,1.20%,±0.1
        Householder lived in owner-occupied housing units,"13,200,134","±74,943",5.00%,±0.2,1.90%,±0.1,2.00%,±0.1,0.70%,±0.1
        Householder lived in renter-occupied housing units,"7,144,653","±75,932",14.10%,±0.5,4.30%,±0.2,3.80%,±0.2,2.20%,±0.2
PERCENT ALLOCATED,,,,,,,,,,
    Residence 1 year ago,8.60%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
