Label (Grouping),Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Moved; within same county!!Estimate,Florida!!Moved; within same county!!Margin of Error,"Florida!!Moved; from different county, same state!!Estimate","Florida!!Moved; from different county, same state!!Margin of Error",Florida!!Moved; from different  state!!Estimate,Florida!!Moved; from different  state!!Margin of Error,Florida!!Moved; from abroad!!Estimate,Florida!!Moved; from abroad!!Margin of Error
        Some other race,"479,461","±22,789",10.60%,±1.4,4.20%,±1.0,3.00%,±0.9,1.50%,±0.5
    Two or more races,"444,184","±17,251",13.40%,±1.4,3.40%,±0.6,4.00%,±0.9,1.60%,±0.5
Hispanic or Latino origin (of any race),"4,558,643","±3,943",9.80%,±0.4,2.70%,±0.2,1.70%,±0.2,1.80%,±0.2
"White alone, not Hispanic or Latino","10,905,815","±8,561",8.40%,±0.2,3.10%,±0.1,3.40%,±0.1,0.50%,±0.1
NATIVITY AND CITIZENSHIP STATUS,,,,,,,,,,
    Native,"15,548,552","±38,671",9.70%,±0.2,3.30%,±0.1,3.00%,±0.1,0.40%,±0.1
    Foreign born,"3,796,507","±37,640",8.70%,±0.4,2.00%,±0.2,1.60%,±0.2,3.10%,±0.2
        Naturalized U.S. citizen,"2,028,626","±27,423",6.80%,±0.4,1.80%,±0.2,1.60%,±0.2,0.40%,±0.1
        Not a U.S. citizen,"1,767,881","±28,873",11.00%,±0.6,2.30%,±0.3,1.60%,±0.3,6.20%,±0.4
MARITAL STATUS,,,,,,,,,,
    Population 15 years and over,"16,226,496","±3,939",9.00%,±0.2,3.10%,±0.1,2.80%,±0.1,0.90%,±0.1
        Never married,"5,097,873","±32,840",12.60%,±0.3,5.00%,±0.2,2.90%,±0.2,1.00%,±0.1
"        Now married, except separated","7,453,192","±49,943",6.30%,±0.2,2.00%,±0.1,2.70%,±0.1,1.00%,±0.1
        Divorced or separated,"2,526,347","±35,009",11.30%,±0.4,3.40%,±0.2,2.90%,±0.2,0.60%,±0.1
        Widowed,"1,149,084","±16,997",6.00%,±0.5,1.80%,±0.3,2.20%,±0.3,0.60%,±0.1
EDUCATIONAL ATTAINMENT,,,,,,,,,,
    Population 25 years and over,"13,726,996","±7,120",8.30%,±0.2,2.60%,±0.1,2.60%,±0.1,0.90%,±0.1
        Less than high school graduate,"1,807,169","±22,937",9.80%,±0.5,3.20%,±0.3,1.70%,±0.2,1.40%,±0.2
        High school graduate (includes equivalency),"4,042,708","±31,787",8.20%,±0.3,2.50%,±0.2,2.20%,±0.2,0.70%,±0.1
        Some college or associate's degree,"4,142,944","±29,423",8.60%,±0.3,2.70%,±0.2,2.70%,±0.2,0.70%,±0.1
        Bachelor's degree,"2,409,162","±26,123",7.60%,±0.3,2.50%,±0.2,3.00%,±0.2,1.10%,±0.1
        Graduate or professional degree,"1,325,013","±20,465",6.70%,±0.4,2.40%,±0.3,3.80%,±0.3,1.10%,±0.2
INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,
    Population 15 years and over,"16,226,496","±3,939",9.00%,±0.2,3.10%,±0.1,2.80%,±0.1,0.90%,±0.1
"        $1 to $9,999 or loss","2,837,619","±28,364",10.70%,±0.4,4.10%,±0.2,3.40%,±0.2,1.20%,±0.1
"        $10,000 to $14,999","1,658,163","±24,480",9.60%,±0.5,2.80%,±0.3,3.10%,±0.2,0.70%,±0.2
"        $15,000 to $24,999","2,584,434","±28,146",9.50%,±0.4,2.70%,±0.2,2.80%,±0.2,0.50%,±0.1
"        $25,000 to $34,999","1,876,135","±21,815",9.60%,±0.5,2.70%,±0.3,2.50%,±0.2,0.40%,±0.1
"        $35,000 to $49,999","1,827,758","±23,286",8.40%,±0.4,2.50%,±0.2,2.60%,±0.3,0.50%,±0.1
"        $50,000 to $64,999","1,084,343","±19,138",7.20%,±0.5,2.70%,±0.3,2.30%,±0.3,0.60%,±0.1
"        $65,000 to $74,999","422,997","±13,005",7.10%,±0.8,2.20%,±0.5,2.50%,±0.4,0.50%,±0.2
"        $75,000 or more","1,382,381","±18,998",5.90%,±0.4,1.70%,±0.2,3.10%,±0.3,0.60%,±0.1
Median income (dollars),"23,749",±168,"20,762",±385,"19,127","±1,345","21,463",±648,"15,661","±1,727"
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,,,,,
    Population 1 year and over for whom poverty status is determined,"18,924,592","±11,231",9.30%,±0.2,2.70%,±0.1,2.60%,±0.1,0.90%,±0.1
        Below 100 percent of the poverty level,"3,196,369","±58,821",14.30%,±0.6,4.00%,±0.2,2.80%,±0.3,1.70%,±0.2
        100 to 149 percent of the poverty level,"2,024,613","±42,275",11.20%,±0.7,3.20%,±0.4,2.30%,±0.3,1.00%,±0.3
        At or above 150 percent of the poverty level,"13,703,610","±62,118",7.80%,±0.2,2.30%,±0.1,2.60%,±0.1,0.70%,±0.1
HOUSING TENURE,,,,,,,,,,
    Population 1 year and over in housing units,"18,919,179","±7,799",9.30%,±0.2,2.70%,±0.1,2.60%,±0.1,0.90%,±0.1
        Householder lived in owner-occupied housing units,"12,166,097","±65,658",4.30%,±0.2,1.40%,±0.1,1.70%,±0.1,0.60%,±0.1
        Householder lived in renter-occupied housing units,"6,753,082","±65,989",18.30%,±0.5,5.00%,±0.2,4.20%,±0.3,1.40%,±0.1
PERCENT IMPUTED,,,,,,,,,,
    Residence 1 year ago,7.30%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
